TXN007,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN008,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN009,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN010,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN011,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN012,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN013,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN014,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN015,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN016,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN017,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN018,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN019,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN020,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN021,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN022,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN023,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN024,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.945260500
TXN025,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN026,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN027,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN028,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN029,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN030,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN031,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN032,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
TXN033,ACC001,DEPOSIT,1.00,2026-01-28T10:15:25.946767800
